Date, Username, Create/Authentication, PasswordFor, Action
2020-04-05 20:56:22,User_6860157,Create,Email,Generate
2020-04-05 20:57:41,User_6860157,Create,Email,Generate
2020-04-05 20:57:45,User_6860157,Create,Email,Generate
2020-04-05 20:57:49,User_6860157,Create,Email,Generate
2020-04-05 20:58:02,User_6860157,Create,Email,Failure
2020-04-05 20:58:05,User_6860157,Create,Email,Failure
2020-04-05 20:58:07,User_6860157,Create,Email,Failure
2020-04-05 20:58:08,User_6860157,Create,Email,Failure
2020-04-05 20:58:10,User_6860157,Create,Email,Failure
2020-04-05 20:58:13,User_6860157,Create,Email,Failure
2020-04-05 20:58:14,User_6860157,Create,Email,Failure
2020-04-05 20:58:15,User_6860157,Create,Email,Failure
2020-04-05 20:58:19,User_6860157,Create,Email,Failure
2020-04-05 20:58:24,User_6860157,Create,Email,Failure
2020-04-05 20:58:25,User_6860157,Create,Email,Failure
2020-04-05 20:58:27,User_6860157,Create,Email,Failure
2020-04-05 20:58:32,User_6860157,Create,Email,Failure
2020-04-05 20:58:35,User_6860157,Create,Email,Failure
2020-04-05 20:58:37,User_6860157,Create,Email,Success
2020-04-05 20:58:41,User_6860157,Create,Banking,Generate
2020-04-05 20:58:51,User_6860157,Create,Banking,Failure
2020-04-05 20:58:52,User_6860157,Create,Banking,Generate
2020-04-05 20:58:53,User_6860157,Create,Banking,Generate
2020-04-05 20:58:57,User_6860157,Create,Banking,Generate
2020-04-05 20:58:59,User_6860157,Create,Banking,Generate
2020-04-05 20:59:00,User_6860157,Create,Banking,Generate
2020-04-05 20:59:05,User_6860157,Create,Banking,Generate
2020-04-05 20:59:08,User_6860157,Create,Banking,Failure
2020-04-05 20:59:12,User_6860157,Create,Banking,Success
2020-04-05 20:59:33,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:34,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:35,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:36,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:37,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:41,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:42,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:43,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:45,User_6860157,Create,Shopping,Generate
2020-04-05 20:59:46,User_6860157,Create,Shopping,Generate
